passage_id,type,query,evidence,reason
akorda_010_p02,low_overlap,Мемлекеттің билік тармақтарын реформалау барысында бұл оқиғаның маңызы қалай бағаланды?,шешуші қадам болды,evidence_not_in_corpus_passage
akorda_010_p04,factoid,Жалпыұлттық коалиция мүшелері жаңа Конституцияның жобасына қатысты қандай жұмыстарға белсене қатысты?,"халыққа түсіндіру, талқылау жұмыстарына",evidence_not_in_corpus_passage
akorda_010_p04,paraphrase,Қоғамдық ұйымдар мен белсенділер Ата заңдағы өзгерістерді тұрғындарға жеткізу үшін не істеді?,"халыққа түсіндіру, талқылау жұмыстарына",evidence_not_in_corpus_passage
akorda_010_p04,low_overlap,Жаңа заңнамалық құжатты халық арасында кеңінен насихаттау және талдау үшін қандай іс-шаралар атқарылды?,"халыққа түсіндіру, талқылау жұмыстарына белсене қатысты",evidence_not_in_corpus_passage
akorda_010_p05,factoid,Заман талабына сай жаңғырған бас құжат мемлекеттігіміздің қандай тарихы бар екенін дәлелдеді?,сан ғасырлық тарихы бар екенін,evidence_not_in_corpus_passage
akorda_010_p05,paraphrase,Жаңартылған Конституция еліміздің тарихи тамырының қаншалықты тереңде жатқанын көрсетті?,сан ғасырлық тарихы бар екенін,evidence_not_in_corpus_passage
akorda_010_p05,low_overlap,Қазақстанның бас заңы ұлтымыздың мемлекеттілік дәстүрінің қай кезеңдерден бастау алатынын айғақтады?,сан ғасырлық тарихы бар екенін,evidence_not_in_corpus_passage
akorda_010_p06,factoid,Жаңа дәуірдегі Қазақстанның басты байлығы не?,"оның адамдары, олардың білімі, таланты және жасампаздық әлеуеті",evidence_not_in_corpus_passage
akorda_010_p06,paraphrase,Мемлекеттің болашағын қалыптастыратын негізгі ресурс ретінде не бағаланады?,"оның адамдары, олардың білімі, таланты және жасампаздық әлеуеті",evidence_not_in_corpus_passage
akorda_010_p06,low_overlap,Еліміздің дамуына серпін беретін азаматтарымыздың қандай қасиеттері мен қабілеттері атап өтілді?,"оның адамдары, олардың білімі, таланты және жасампаздық әлеуеті",evidence_not_in_corpus_passage
akorda_010_p07,factoid,Қазақстанның әлемдік экономикадағы бәсекеге қабілеттілігін арттыратын қандай стратегиялық басымдықтар аталды?,"Экономиканы әртараптандыру, инновацияларды енгізу және цифрлық технологияларды дамыту",evidence_not_in_corpus_passage
akorda_010_p07,paraphrase,"Мемлекетіміздің жаһандық сын-қатерлерге төтеп беріп, алға жылжуына көмектесетін негізгі бағыттар қандай?","Экономиканы әртараптандыру, инновацияларды енгізу және цифрлық технологияларды дамыту",evidence_not_in_corpus_passage
akorda_010_p07,low_overlap,Заманауи әлемде еліміздің ұстанымын нығайту үшін қандай экономикалық және технологиялық шаралар қабылдануда?,"Экономиканы әртараптандыру, инновацияларды енгізу және цифрлық технологияларды дамыту",evidence_not_in_corpus_passage
akorda_010_p09,factoid,Көп ұзамай Парламент қарауына қандай маңызды мәселелерге қатысты заң жобалары ұсынылады?,"Президент, Құрылтай, Халық Кеңесі, Астананың мәртебесі және басқа да",evidence_not_in_corpus_passage
akorda_011_p09,factoid,Былтыр Қазақстанның жалпы ішкі өнімі қандай көлемді құрады?,306 миллиард доллар болды,evidence_not_in_corpus_passage
akorda_011_p09,paraphrase,Өткен жылы еліміздің экономикалық даму көрсеткіші қандай санмен белгіленді?,306 миллиард доллар болды,evidence_not_in_corpus_passage
akorda_011_p09,low_overlap,Қазақстанның өткен жылғы экономикалық табысы қанша қаржылық межеге жетті?,306 миллиард доллар болды,evidence_not_in_corpus_passage
akorda_012_p14,paraphrase,Адам құқықтарын қорғау мақсатында жаңадан тағайындалатын жауапты тұлға қалай аталады?,уәкіл (отбасы омбудсмені),evidence_not_in_corpus_passage
